image_name,rust_ratio,cr_thr,tex_thr,iou,dice,precision,recall
144.png,4.737377166748047,132.0,31.922569274902344,0.2674616880084281,0.4220430337877788,0.991484650226472,0.26807748621566163
150.png,0.2562522888183594,133.0,19.229568481445312,0.5083447869624975,0.6740432179120021,0.9635280982508374,0.5183183183183183
153.png,5.0872802734375,132.0,19.61590576171875,0.44457969651280205,0.6155142531575268,0.60250449910018,0.6290982403257062
154.png,0.8616447448730469,131.0,22.041458129882812,0.2902821114935504,0.4499513849068834,0.9987825124515772,0.2903848629167203
157.png,2.3035049438476562,127.0,16.16735076904297,0.4876669759813548,0.6556130960152022,0.9355800281526869,0.5046111247571623
165.png,1.4263153076171875,132.0,18.42919921875,0.4772456022001972,0.6461289869326964,0.6149371489703129,0.6806542332741267
169.png,2.267169952392578,132.0,17.06514129638672,0.31231872161112023,0.47597998331943286,0.7201867664998107,0.3554508273299147
171.png,3.0485153198242188,132.0,22.80048980712891,0.4211021505376344,0.5926416343516504,0.9801038603516236,0.42473293205357626
179.png,1.2269973754882812,130.0,17.426861572265626,0.42929734021437077,0.6007110321075436,0.8405098709777709,0.46736969487423285
180.png,4.747772216796875,129.0,20.439437866210938,0.5513678462444457,0.7108151011111878,0.8274947774385345,0.6229736269053956
188.png,1.34124755859375,129.0,21.230842590332035,0.24051352888599983,0.38776445929128184,0.42093287827076226,0.3594414086217365
196.png,11.217403411865234,128.0,29.33985290527344,0.5032685354240504,0.6695657143945817,0.5975787048451409,0.7612719455004278
198.png,6.197929382324219,133.0,23.163238525390625,0.2039154383442042,0.33875375603565266,0.9774888444376058,0.20487756109045288
206.png,0.13551712036132812,124.0,14.196138000488281,0.5465384615384615,0.7067893558816215,1.0,0.5465384615384615
209.png,0.390625,128.0,28.267340087890624,0.2652942318896873,0.41933998465080585,0.33349609375,0.5646961554361306
210.png,0.8831977844238281,132.0,19.530442810058595,0.5581302116741501,0.7164102300210982,0.7516466904222007,0.6843295320487613
211.png,1.8801689147949219,132.0,31.263229370117188,0.4461948391922214,0.6170604777450949,0.48414912503170177,0.8505613972553911
223.png,0.17099380493164062,130.0,30.287693786621094,0.3307101367809631,0.49704308645451983,0.9843837144450641,0.332454322847994
226.png,7.425880432128906,133.0,19.447036743164062,0.3157772584020782,0.4799858887750776,0.9959802738037141,0.31618021779102334
228.png,2.3301124572753906,129.0,19.12281646728516,0.19578532129139417,0.3274589808143068,0.23157205418900667,0.5588700118530225
232.png,5.385112762451172,134.0,28.271360778808596,0.3296982936765661,0.49589940100616753,0.988913878902722,0.33092139572369983
237.png,4.5299530029296875,132.0,31.385215759277344,0.2947206465724984,0.4552652301524805,0.3347157894736842,0.7115238308346387
238.png,2.426624298095703,127.0,24.197402954101562,0.3064529758048616,0.4691373994782571,0.4275889172725486,0.5196293819849078
251.png,12.191104888916016,131.0,28.801406860351562,0.4381463096841317,0.6093209108610991,0.7049901042766735,0.5365143622562881
257.png,6.958675384521484,133.0,22.735317993164063,0.6299070391011933,0.772936154013487,0.779133032740828,0.7668370719074147
277.png,0.12807846069335938,127.0,13.257061767578126,0.4123743718592965,0.583944852123638,0.9776619508562919,0.4162967660114141
281.png,6.429481506347656,132.0,38.26917724609375,0.5245014717466109,0.6880957237065742,0.7506303954433534,0.635179234862938
283.png,3.90167236328125,132.0,24.282577514648438,0.28087896171218385,0.4385722150307251,0.36023660539694957,0.5604441571281895
286.png,3.3258438110351562,133.0,19.179702758789062,0.4698091016013752,0.6392790752071305,0.7445088031198027,0.5601121777586021
287.png,1.6740798950195312,132.0,34.74653625488281,0.5019930601359296,0.6684359248510768,0.9972086134214424,0.5026994428809374
293.png,0.9469985961914062,131.0,22.53984832763672,0.4566074268722772,0.6269464489175846,0.6649546827794562,0.5930483204598527
311.png,0.26874542236328125,132.0,21.08916320800781,0.2277085330776606,0.37094884810620854,0.5056777856635912,0.29290853031860226
313.png,3.555583953857422,129.0,21.803143310546876,0.5763398921951006,0.7312380978857675,0.7054958023764182,0.7589301171446707
324.png,1.1514663696289062,129.0,18.063400268554688,0.4243966817496229,0.5958967571144937,0.7457346364088123,0.49619750909291305
325.png,3.1909942626953125,132.0,23.77532958984375,0.33408021149010253,0.5008397675233504,0.6193962940824865,0.4203768686233545
327.png,0.6129264831542969,132.0,20.880966186523438,0.4512918254976705,0.6219174084342624,0.9947098179555003,0.45237758279082935
