image_name,rust_ratio,degradation_score,iou,dice,precision,recall
078.png,0.5588531494140625,0.5588531494140625,0.30265809423279916,0.46467771639042355,0.5382252559726962,0.40881399870382373
080.png,0.9739875793457031,0.9739875793457031,0.7640375970576215,0.866237316406431,0.9153040242827769,0.8221635883905013
086.png,2.3386001586914062,2.3386001586914062,0.2788364635822263,0.4360783751835799,0.9929043308049914,0.27939320221237923
088.png,2.0974159240722656,2.0974159240722656,0.31627667780920543,0.48056260988474314,0.5033419724457782,0.4597557936705706
096.png,7.668304443359375,7.668304443359375,0.7811288088642659,0.8771165846925485,0.8416699830862601,0.9156800930874454
097.png,7.359027862548828,7.359027862548828,0.7611289017137629,0.8643647843983535,0.8408864122335256,0.8891918928918915
099.png,3.874683380126953,3.874683380126953,0.24337074995932975,0.3914693183304985,0.4418518791995865,0.3514005519995302
105.png,1.7885208129882812,1.7885208129882812,0.6835145682567347,0.8120090923412778,0.9619281220006398,0.7025195685190233
116.png,6.112861633300781,6.112861633300781,0.30104440885044287,0.4627734561596328,0.9295141814097164,0.3080773347535847
119.png,0.0865936279296875,0.0865936279296875,0.6918547595682041,0.8178654292343387,0.776431718061674,0.8639705882352942
120.png,1.1544227600097656,1.1544227600097656,0.18716482263438275,0.31531396326089567,0.8678232135481206,0.19265684890054469
122.png,0.41065216064453125,0.41065216064453125,0.7527904849039341,0.8589623133938824,0.9554110543427775,0.7802010240849612
130.png,2.332305908203125,2.332305908203125,0.25511984571586005,0.4065266700812175,0.34077526987242396,0.5037171350861287
140.png,0.8244514465332031,0.8244514465332031,0.46761417897870905,0.637244019138756,0.9628687102371313,0.47620137299771165
143.png,5.569362640380859,5.569362640380859,0.31253374381124144,0.4762296516716261,0.46588126509015565,0.48704820894720824
144.png,6.910610198974609,6.910610198974609,0.379680641947384,0.5503891703684042,0.9729241129955978,0.3837352971593105
150.png,0.3693580627441406,0.3693580627441406,0.7057126370455857,0.8274695534506089,0.9473276529821844,0.7345345345345345
153.png,7.448673248291016,7.448673248291016,0.48478370799429965,0.6530024614146168,0.5400678573714871,0.8256571864784983
154.png,1.3352394104003906,1.3352394104003906,0.4487224811184316,0.6194733456086252,0.9972144846796658,0.4492856223452182
157.png,3.2621383666992188,3.2621383666992188,0.6389119428998257,0.7796781830381445,0.900222183242706,0.6876046714154925
165.png,2.25067138671875,2.25067138671875,0.5557325508279187,0.7144319896529424,0.5617372881355932,0.9811278863232682
169.png,3.27606201171875,3.27606201171875,0.4204148377657285,0.5919606393679031,0.7109920819748486,0.5070691552307597
171.png,4.416942596435547,4.416942596435547,0.568655371069511,0.7250226933935159,0.9398682932095433,0.5901252643565967
179.png,1.7584800720214844,1.7584800720214844,0.542860323586166,0.7037063761214133,0.7933727425565378,0.6322499783905264
180.png,7.281208038330078,7.281208038330078,0.690860757390551,0.817170490675688,0.7624723310063,0.8803230099201549
188.png,1.975250244140625,1.975250244140625,0.2916695615924408,0.45161637351406597,0.40536886828891466,0.5097753491196114
196.png,14.625072479248047,14.625072479248047,0.5640521253095497,0.7212702392484717,0.5777640116070555,0.9596235283924143
198.png,9.879875183105469,9.879875183105469,0.310375084339334,0.47371945338203547,0.9457904592752756,0.3159965556497986
206.png,0.1953125,0.1953125,0.7713414634146342,0.8709122203098106,0.98828125,0.7784615384615384
209.png,0.5579948425292969,0.5579948425292969,0.28456042249145697,0.44304715840386943,0.31310887027858486,0.7573377428689542
210.png,1.2231826782226562,1.2231826782226562,0.6940188568061285,0.8193755978780763,0.7346015905192578,0.9262681871804955
211.png,3.0086517333984375,3.0086517333984375,0.33781670315921175,0.5050268880056115,0.34233548877900344,0.9623952949563358
223.png,0.24499893188476562,0.24499893188476562,0.4470977222630419,0.6179233307946179,0.947450369793694,0.4584667545677152
226.png,9.931373596191406,9.931373596191406,0.42087028655776904,0.592411975307582,0.9938735139910503,0.42196501155817207
228.png,3.2503128051757812,3.2503128051757812,0.24502900918154677,0.39361172691489843,0.255266709700135,0.8593441327538522
232.png,8.024024963378906,8.024024963378906,0.47011597825771007,0.6395631163942076,0.9611233925218094,0.4792288911013132
237.png,6.489753723144531,6.489753723144531,0.3016775865793074,0.4635212124564412,0.30786186627479795,0.9375699261579772
238.png,3.7177085876464844,3.7177085876464844,0.32844854343102914,0.4944844044658801,0.38003745222276375,0.7075651924730155
251.png,18.697643280029297,18.697643280029297,0.3907751319011725,0.5619530043896999,0.5217052009854176,0.6089299002827802
257.png,9.176063537597656,9.176063537597656,0.6875018573367278,0.8148161192803264,0.7213203350724396,0.9361587331561838
